epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.793,1.73442,4.10747,1.65874,0.00493,1,0.45917,0.26237,1.26993,4.02122,1.2627,0.000205696,0.000205696,0.000205696
2,522.266,1.31514,2.4293,1.34406,0.7268,0.78597,0.85586,0.40155,1.82328,2.69495,1.7082,0.000400367,0.000400367,0.000400367
3,738.289,1.2676,1.92248,1.31949,0.91696,0.87084,0.93999,0.58515,1.29915,1.74336,1.33431,0.000581287,0.000581287,0.000581287
4,952.001,1.24385,1.61904,1.31145,0.94236,0.94702,0.98286,0.61523,1.33482,1.54157,1.36108,0.000563125,0.000563125,0.000563125
5,1165.32,1.19481,1.41196,1.26448,0.95885,0.97066,0.98907,0.6737,1.13152,1.28633,1.24537,0.0005425,0.0005425,0.0005425
6,1379.12,1.16124,1.26691,1.23639,0.94141,0.96468,0.99089,0.6287,1.31078,1.26848,1.35068,0.000521875,0.000521875,0.000521875
7,1593.87,1.16909,1.17774,1.23344,0.96609,0.97827,0.99066,0.65505,1.16003,1.02441,1.24207,0.00050125,0.00050125,0.00050125
8,1806.41,1.12899,1.06177,1.20533,0.97451,0.98205,0.99354,0.66436,1.1663,0.9478,1.26288,0.000480625,0.000480625,0.000480625
9,2019.94,1.1301,0.99296,1.22251,0.96936,0.99125,0.99136,0.65865,1.22229,0.94832,1.27146,0.00046,0.00046,0.00046
10,2233.73,1.08121,0.93214,1.1769,0.97715,0.99172,0.9942,0.67823,1.14891,0.86257,1.23147,0.000439375,0.000439375,0.000439375
11,2446.78,1.09528,0.86141,1.197,0.96832,0.99176,0.99301,0.66044,1.20678,0.80947,1.27864,0.00041875,0.00041875,0.00041875
12,2660.89,1.0769,0.82426,1.18444,0.95435,0.99491,0.99366,0.67834,1.17503,0.7781,1.25027,0.000398125,0.000398125,0.000398125
13,2875.95,1.04776,0.80127,1.16803,0.96973,0.99773,0.995,0.6915,1.12494,0.73041,1.2209,0.0003775,0.0003775,0.0003775
14,3089.58,1.06843,0.78806,1.18173,0.98758,0.99213,0.995,0.71566,1.03664,0.68832,1.17069,0.000356875,0.000356875,0.000356875
15,3302.56,1.01921,0.75012,1.15553,0.98972,0.97435,0.99394,0.69243,1.10766,0.68839,1.21324,0.00033625,0.00033625,0.00033625
16,3517.91,1.03144,0.72796,1.15822,0.97615,0.99418,0.995,0.68502,1.13944,0.66677,1.224,0.000315625,0.000315625,0.000315625
17,3732.88,1.04582,0.71933,1.16203,0.98361,0.99567,0.995,0.68094,1.16771,0.64342,1.2474,0.000295,0.000295,0.000295
18,3948.19,1.00575,0.68549,1.15097,0.98859,1,0.995,0.69631,1.12165,0.61311,1.2177,0.000274375,0.000274375,0.000274375
19,4160.63,0.9913,0.66907,1.13377,0.98813,0.99072,0.995,0.69723,1.07946,0.60266,1.19326,0.00025375,0.00025375,0.00025375
20,4372.64,0.99849,0.65711,1.15512,0.98983,0.99237,0.995,0.71866,1.05826,0.57353,1.18236,0.000233125,0.000233125,0.000233125
21,4582.84,0.9287,0.59149,1.17494,0.99159,0.99048,0.995,0.70469,1.06758,0.56627,1.18514,0.0002125,0.0002125,0.0002125
22,4792.29,0.92878,0.56794,1.15298,0.99255,0.98997,0.995,0.69157,1.12154,0.56542,1.21238,0.000191875,0.000191875,0.000191875
23,5000.92,0.92763,0.55685,1.15558,0.98607,0.98753,0.99082,0.70582,1.08577,0.54886,1.19461,0.00017125,0.00017125,0.00017125
24,5210.06,0.92446,0.54322,1.16422,0.99226,0.99068,0.995,0.7202,1.02015,0.52922,1.1567,0.000150625,0.000150625,0.000150625
25,5420.98,0.90501,0.52452,1.14429,0.99133,0.99173,0.995,0.67928,1.18374,0.53956,1.24766,0.00013,0.00013,0.00013
26,5631.53,0.88471,0.51364,1.12561,0.99249,0.99655,0.995,0.71525,1.06357,0.50739,1.18751,0.000109375,0.000109375,0.000109375
27,5841.4,0.8764,0.50444,1.11125,0.99291,0.99628,0.995,0.71942,1.03673,0.49899,1.16539,8.875e-05,8.875e-05,8.875e-05
28,6050.06,0.86154,0.49115,1.10109,0.99006,0.9975,0.995,0.72681,1.0282,0.48973,1.16157,6.8125e-05,6.8125e-05,6.8125e-05
29,6259.13,0.8569,0.48382,1.11338,0.98649,0.99886,0.995,0.73289,1.01121,0.48541,1.15174,4.75e-05,4.75e-05,4.75e-05
30,6468.08,0.84546,0.48099,1.09934,0.98664,0.99761,0.995,0.72939,1.02258,0.48145,1.15598,2.6875e-05,2.6875e-05,2.6875e-05
