epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3266,1.99281,3.76577,2.31861,0.00784,1,0.34891,0.13027,1.42333,4.19859,1.98591,0.0001111,0.0001111,0.0001111
2,61.1638,1.16573,2.73711,1.51225,0.0321,1,0.5443,0.32833,1.01856,3.73173,1.53197,0.000221761,0.000221761,0.000221761
3,89.0937,1.09462,2.17339,1.50379,0.12428,0.97619,0.53368,0.28284,1.21361,3.27911,1.87543,0.000320324,0.000320324,0.000320324
4,117.1,0.94863,1.871,1.38333,0.54942,0.80833,0.67485,0.38751,1.26791,2.50304,1.9288,0.000406787,0.000406787,0.000406787
5,145.052,0.87948,1.72084,1.30101,0.36129,0.66548,0.59705,0.35375,1.50984,2.75063,2.09807,0.000481152,0.000481152,0.000481152
6,173.103,0.87333,1.72766,1.39719,0.48748,0.87738,0.84314,0.35122,1.8818,2.41623,2.22915,0.000543418,0.000543418,0.000543418
7,200.988,0.83446,1.49801,1.22524,0.91091,0.92738,0.91973,0.48417,1.45971,2.00662,1.8308,0.000593585,0.000593585,0.000593585
8,229.032,0.83817,1.5493,1.22089,0.61931,0.93998,0.8819,0.54475,1.09801,2.33076,1.68949,0.000631653,0.000631653,0.000631653
9,256.794,0.84911,1.2931,1.22224,0.66274,0.86746,0.90621,0.5697,1.1548,1.97176,1.58226,0.000657623,0.000657623,0.000657623
10,284.822,0.79086,1.32881,1.19066,0.93447,0.93289,0.95029,0.60482,1.27074,1.82975,1.84357,0.000616049,0.000616049,0.000616049
11,312.47,0.86687,1.78875,1.40208,0.94346,0.87494,0.96357,0.71337,0.85912,1.72761,1.29474,0.000561055,0.000561055,0.000561055
12,340.218,0.70734,1.61534,1.26316,0.91387,0.94972,0.96479,0.71752,0.92964,1.60236,1.3609,0.00050606,0.00050606,0.00050606
13,367.94,0.69189,1.56279,1.13233,0.9515,0.96764,0.98864,0.72324,0.79728,1.60968,1.25694,0.000451066,0.000451066,0.000451066
14,395.193,0.63084,1.50492,1.15061,0.97948,0.96833,0.995,0.69085,0.85393,1.56267,1.29997,0.000396071,0.000396071,0.000396071
15,422.883,0.60501,1.43042,1.1203,0.99315,0.95119,0.97791,0.70785,0.8342,1.35378,1.25122,0.000341077,0.000341077,0.000341077
16,450.638,0.59242,1.28075,1.13846,0.99056,0.95119,0.98031,0.76795,0.67733,1.29008,1.15806,0.000286083,0.000286083,0.000286083
17,478.526,0.60303,1.35166,1.21563,0.99683,0.96107,0.98324,0.79394,0.60841,1.25297,1.13296,0.000231088,0.000231088,0.000231088
18,506.327,0.62005,1.35503,1.23587,0.95886,0.95119,0.9781,0.79548,0.61243,1.20129,1.1153,0.000176094,0.000176094,0.000176094
19,534.024,0.5645,1.28084,1.08192,0.97274,0.95119,0.97833,0.80316,0.59044,1.17148,1.08893,0.000121099,0.000121099,0.000121099
20,561.637,0.49187,1.25076,1.01796,0.98643,0.95119,0.98909,0.80498,0.55999,1.15787,1.08416,6.61045e-05,6.61045e-05,6.61045e-05
