epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.096,1.9609,4.87533,1.78117,0.00319,0.16636,0.03467,0.01444,1.17641,4.87168,1.22056,0.00013125,0.00013125,0.00013125
2,246.427,1.33522,2.63909,1.3117,0.03245,1,0.69953,0.36641,1.23043,4.34436,1.17907,0.000259881,0.000259881,0.000259881
3,368.453,1.1923,1.99369,1.21369,0.0407,1,0.83748,0.48891,1.47269,3.86472,1.38053,0.000379438,0.000379438,0.000379438
4,488.36,1.1737,1.75765,1.17342,0.02667,1,0.9844,0.57094,1.49226,3.59321,1.3976,0.000489919,0.000489919,0.000489919
5,608.82,1.1106,1.45443,1.14383,0.93701,0.6999,0.995,0.66937,1.20198,2.66085,1.19418,0.0005425,0.0005425,0.0005425
6,729.206,1.10328,1.46348,1.13635,0.97973,0.99565,0.995,0.62766,1.33701,2.08444,1.266,0.000521875,0.000521875,0.000521875
7,850.852,1.0237,1.33087,1.09575,0.99025,1,0.995,0.6851,1.11142,1.41667,1.17494,0.00050125,0.00050125,0.00050125
8,975.388,1.05943,1.24702,1.09576,0.98588,1,0.995,0.7088,1.10129,1.40343,1.12355,0.000480625,0.000480625,0.000480625
9,1115.41,0.99272,1.1499,1.07083,0.97957,1,0.995,0.70532,1.05207,1.34767,1.11417,0.00046,0.00046,0.00046
10,1251.04,0.97363,1.11286,1.08549,0.99126,1,0.995,0.67849,1.18456,1.17125,1.18965,0.000439375,0.000439375,0.000439375
11,1383.05,0.98069,1.05951,1.08278,0.97889,1,0.995,0.72085,1.07114,1.22394,1.11354,0.00041875,0.00041875,0.00041875
12,1505.01,0.99773,1.09737,1.10064,0.99694,1,0.995,0.71376,1.03271,1.1054,1.11488,0.000398125,0.000398125,0.000398125
13,1628.09,0.96775,0.99002,1.06039,0.98555,1,0.995,0.70986,1.13331,1.09601,1.17364,0.0003775,0.0003775,0.0003775
14,1751.85,0.99043,1.00882,1.06829,0.99135,1,0.995,0.70407,1.12218,1.01617,1.14661,0.000356875,0.000356875,0.000356875
15,1876.39,0.99345,0.97913,1.07089,0.99084,1,0.995,0.64708,1.28226,1.03636,1.24854,0.00033625,0.00033625,0.00033625
16,2003.56,0.98286,0.98172,1.07929,0.99682,1,0.995,0.68551,1.16117,0.96081,1.15573,0.000315625,0.000315625,0.000315625
17,2131.41,0.93017,0.92734,1.05908,0.99431,1,0.995,0.72198,1.03568,0.92026,1.08509,0.000295,0.000295,0.000295
18,2258.61,0.92037,0.90515,1.04055,0.98995,1,0.995,0.71543,1.09981,0.97502,1.12827,0.000274375,0.000274375,0.000274375
19,2386.07,0.92904,0.91167,1.06008,0.99655,1,0.995,0.70774,1.12895,0.92554,1.15442,0.00025375,0.00025375,0.00025375
20,2513.35,0.90448,0.85323,1.04618,0.9973,1,0.995,0.72615,1.04219,0.87782,1.09787,0.000233125,0.000233125,0.000233125
21,2639.32,0.87161,0.98812,1.06421,0.99366,0.9995,0.995,0.6676,1.24931,0.95112,1.2245,0.0002125,0.0002125,0.0002125
22,2764.28,0.85322,0.95279,1.0642,0.99144,0.99849,0.995,0.70843,1.07754,0.88736,1.12592,0.000191875,0.000191875,0.000191875
23,2893.5,0.85707,0.94418,1.06574,0.99648,1,0.995,0.75557,0.93688,0.83227,1.05917,0.00017125,0.00017125,0.00017125
24,3018.21,0.81242,0.90914,1.0287,0.99642,1,0.995,0.75647,0.91733,0.81143,1.06897,0.000150625,0.000150625,0.000150625
25,3143.41,0.80863,0.89302,1.02528,0.99542,1,0.995,0.72994,1.00775,0.8254,1.09717,0.00013,0.00013,0.00013
26,3267.62,0.81471,0.88852,1.02207,0.99561,1,0.995,0.76688,0.91238,0.78194,1.06481,0.000109375,0.000109375,0.000109375
27,3391.66,0.783,0.84933,1.0087,0.99672,1,0.995,0.74205,0.97406,0.7965,1.07626,8.875e-05,8.875e-05,8.875e-05
28,3516.43,0.77733,0.85643,1.01206,0.99608,1,0.995,0.75464,0.92972,0.77273,1.06027,6.8125e-05,6.8125e-05,6.8125e-05
29,3639.5,0.79144,0.8304,1.00928,0.99618,1,0.995,0.74499,0.97138,0.78165,1.07242,4.75e-05,4.75e-05,4.75e-05
30,3762.79,0.76272,0.8237,1.00777,0.99708,1,0.995,0.7535,0.95434,0.77721,1.05968,2.6875e-05,2.6875e-05,2.6875e-05
