epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4851,2.25415,4.93061,1.99813,0.00051,0.06818,0.00204,0.00145,1.01275,4.5361,1.10426,9.999e-05,9.999e-05,9.999e-05
2,60.1421,1.36183,2.82265,1.3059,0.00764,0.33254,0.195,0.09286,1.08798,4.36007,1.1051,0.000200641,0.000200641,0.000200641
3,87.9573,1.20914,2.11842,1.1858,0.01115,0.73684,0.56053,0.2553,1.1659,4.37059,1.11998,0.000290293,0.000290293,0.000290293
4,116.662,1.14431,1.68535,1.13825,0.00851,0.94737,0.70351,0.25882,1.36628,4.26301,1.26751,0.000368946,0.000368946,0.000368946
5,144.667,1.12146,1.67943,1.16854,0.00838,0.79306,0.42574,0.13684,1.42113,4.24406,1.26647,0.000436601,0.000436601,0.000436601
6,172.047,1.12177,1.47886,1.13585,0.00824,1,0.75606,0.49028,1.22823,3.83274,1.11856,0.000493256,0.000493256,0.000493256
7,200.07,1.0634,1.44567,1.13393,0.00783,1,0.99413,0.53495,1.66303,3.68096,1.32628,0.000538913,0.000538913,0.000538913
8,227.805,1.05924,1.43985,1.15012,1,0.37858,0.995,0.66926,1.29374,3.13731,1.16447,0.00057357,0.00057357,0.00057357
9,257.511,1.04076,1.29809,1.09792,0.99643,0.93995,0.995,0.6234,1.24564,2.55472,1.18422,0.000597229,0.000597229,0.000597229
10,286.589,1.0734,1.37401,1.154,0.98519,0.70376,0.995,0.63986,1.32863,2.64634,1.20948,0.000609889,0.000609889,0.000609889
11,315.265,0.98696,1.57303,1.11437,0.99233,0.94543,0.995,0.64021,1.26175,2.49122,1.16065,0.000561055,0.000561055,0.000561055
12,343.898,0.94977,1.5251,1.12084,0.9816,1,0.995,0.69286,1.00084,1.97119,1.03883,0.00050606,0.00050606,0.00050606
13,372.183,0.98088,1.46449,1.10581,0.98353,1,0.995,0.73997,0.89612,1.89787,0.98075,0.000451066,0.000451066,0.000451066
14,400.568,0.90147,1.40648,1.09875,0.98633,0.99808,0.995,0.69934,1.02265,1.44409,1.01769,0.000396071,0.000396071,0.000396071
15,431.354,0.89067,1.31436,1.09208,0.9827,1,0.995,0.72055,0.98646,1.40886,1.00397,0.000341077,0.000341077,0.000341077
16,460.762,0.91573,1.35018,1.10889,0.98915,0.99708,0.995,0.77321,0.84225,1.33851,0.9619,0.000286083,0.000286083,0.000286083
17,489.407,0.86802,1.27851,1.07942,0.98585,1,0.995,0.76535,0.84598,1.17292,0.95986,0.000231088,0.000231088,0.000231088
18,518.51,0.87005,1.2001,1.07041,0.99081,1,0.995,0.74802,0.89179,1.10101,0.96963,0.000176094,0.000176094,0.000176094
19,546.736,0.82406,1.21022,1.02181,0.99077,1,0.995,0.74964,0.8669,1.09586,0.95981,0.000121099,0.000121099,0.000121099
20,575.131,0.80349,1.19132,1.02237,0.98995,1,0.995,0.75909,0.87762,1.02289,0.96416,6.61045e-05,6.61045e-05,6.61045e-05
